captured_at_utc,exchange_time,exchange_time_ms,asset,coin,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-29T00:04:54.001306Z,2026-04-29T00:04:54.692000Z,1777421094692,SILVER,xyz:SILVER,73.56,278.12,2,73.561,600.0,1,73.5605,0.0010000000000047748,0.13594252350171285,753.72,55441.1484,1898.3400000000001,139645.91366,13360.65,982505.6350699998,7592.170000000001,558583.86359
2026-04-29T00:04:56.023089Z,2026-04-29T00:04:55.782000Z,1777421095782,SILVER,xyz:SILVER,73.554,10.36,1,73.561,33.98,1,73.5575,0.007000000000005002,0.951636474867281,573.64,42191.79,362.79,26687.92607,10769.839999999998,791954.74017,6192.07,455591.78667
2026-04-29T00:04:56.678580Z,2026-04-29T00:04:56.317000Z,1777421096317,SILVER,xyz:SILVER,73.558,10.44,2,73.559,13.59,1,73.55850000000001,0.000999999999990564,0.13594621967421355,573.8599999999999,42208.01322,326.09,23988.07644,11498.38,845533.6918699999,6789.91,499575.28717
2026-04-29T00:04:57.497748Z,2026-04-29T00:04:57.405000Z,1777421097405,SILVER,xyz:SILVER,73.563,25.1,1,73.564,0.14,1,73.5635,0.000999999999990564,0.1359369796149672,8589.64,631860.8163999999,43.879999999999995,3228.1635499999998,16677.829999999998,1226703.2460899998,8736.69,642844.67435
2026-04-29T00:04:58.482166Z,2026-04-29T00:04:57.936000Z,1777421097936,SILVER,xyz:SILVER,73.562,1013.12,3,73.564,121.79,1,73.56299999999999,0.001999999999995339,0.27187580713066883,1886.34,138755.58246,392.71000000000004,28890.75675,9591.250000000002,705400.54825,9229.93,679128.6368000001
2026-04-29T00:04:59.135544Z,2026-04-29T00:04:59.556000Z,1777421099556,SILVER,xyz:SILVER,73.563,1.35,1,73.566,13.59,1,73.56450000000001,0.0030000000000001137,0.4078053952653948,948.19,69745.87214,44.019999999999996,3238.4636299999997,11751.22,864264.9729099999,9978.86,734246.7338299998
2026-04-29T00:05:00.447150Z,2026-04-29T00:05:00.102000Z,1777421100102,SILVER,xyz:SILVER,73.561,102.84,4,73.565,553.52,3,73.563,0.003999999999990678,0.5437516142613376,1029.9299999999998,75755.82438,760.1,55917.10575,10443.490000000002,767972.28058,9842.730000000001,724213.90625
2026-04-29T00:05:01.593156Z,2026-04-29T00:05:01.196000Z,1777421101196,SILVER,xyz:SILVER,73.592,2769.63,1,73.596,13.58,1,73.594,0.0040000000000048885,0.5435225697753742,5415.870000000001,398561.65125,327.15999999999997,24080.394519999998,24631.590000000004,1812317.7565199998,3524.8099999999995,259478.16888999997
2026-04-29T00:05:02.251339Z,2026-04-29T00:05:02.286000Z,1777421102286,SILVER,xyz:SILVER,73.595,10.48,1,73.597,11.15,2,73.596,0.001999999999995339,0.27175389966782687,5908.04,434781.98332999996,165.47,12178.858549999999,14484.16,1065807.1466199998,5799.29,426935.71783
2026-04-29T00:05:03.230919Z,2026-04-29T00:05:02.824000Z,1777421102824,SILVER,xyz:SILVER,73.596,12.38,1,73.597,11.01,1,73.59649999999999,0.000999999999990564,0.13587602671194474,3083.7799999999997,226941.88784,165.32999999999998,12168.55497,14178.54,1043320.3252999999,5253.360000000001,386736.2446
2026-04-29T00:05:04.001029Z,2026-04-29T00:05:04.474000Z,1777421104474,SILVER,xyz:SILVER,73.596,39.64,3,73.597,11.01,1,73.59649999999999,0.000999999999990564,0.13587602671194474,5838.6900000000005,429678.30688,65.61,4828.87627,15782.870000000003,1161354.41763,3323.2599999999998,244639.1839
2026-04-29T00:05:05.525492Z,2026-04-29T00:05:05.587000Z,1777421105587,SILVER,xyz:SILVER,73.596,28.61,3,73.597,11.01,1,73.59649999999999,0.000999999999990564,0.13587602671194474,429.03,31573.890760000002,52.3,3849.23284,9014.020000000002,663251.8398900001,3144.0099999999998,231434.89095
2026-04-29T00:05:06.531950Z,2026-04-29T00:05:06.104000Z,1777421106104,SILVER,xyz:SILVER,73.594,19.08,1,73.597,11.01,1,73.59549999999999,0.0030000000000001137,0.4076336189033452,515.79,37957.72607,52.3,3849.23284,10172.600000000004,748486.32485,7882.509999999999,580266.2252399999
2026-04-29T00:05:07.308136Z,2026-04-29T00:05:07.199000Z,1777421107199,SILVER,xyz:SILVER,73.585,100.0,1,73.592,850.0,2,73.5885,0.007000000000005002,0.9512355870829006,563.36,41453.59286,1119.53,82389.49119,15514.73,1141382.62465,11229.21,826559.46521
2026-04-29T00:05:08.146872Z,2026-04-29T00:05:07.743000Z,1777421107743,SILVER,xyz:SILVER,73.581,161.87,1,73.591,13.58,1,73.586,0.009999999999990905,1.3589541488857806,980.26,72124.11415000001,513.5,37790.24184,17465.75,1284888.34576,10850.390000000001,798671.64866
2026-04-29T00:05:09.000649Z,2026-04-29T00:05:08.813000Z,1777421108813,SILVER,xyz:SILVER,73.582,10.64,1,73.587,13.58,1,73.58449999999999,0.005000000000009663,0.6794909254000047,509.98,37523.83009,357.08,26278.03833,17507.070000000003,1287932.1189,4411.25,324691.29724
2026-04-29T00:05:10.342062Z,2026-04-29T00:05:09.853000Z,1777421109853,SILVER,xyz:SILVER,73.582,10.29,1,73.587,13.58,1,73.58449999999999,0.005000000000009663,0.6794909254000047,509.49,37487.77533,179.56,13213.879109999998,17506.690000000002,1287904.1168299997,4281.33,315113.41217
2026-04-29T00:05:11.096271Z,2026-04-29T00:05:10.955000Z,1777421110955,SILVER,xyz:SILVER,73.583,10.69,1,73.587,13.58,1,73.58500000000001,0.0040000000000048885,0.5435890466813736,410.26,30186.756649999996,79.55999999999999,5854.7791099999995,16789.440000000002,1235144.00971,3722.24,273965.18877000007
2026-04-29T00:05:12.000497Z,2026-04-29T00:05:11.513000Z,1777421111513,SILVER,xyz:SILVER,73.582,1.35,1,73.587,13.58,1,73.58449999999999,0.005000000000009663,0.6794909254000047,500.83,36850.55465,79.7,5865.08157,17497.890000000003,1287256.5956499998,3722.38,273975.49123000004
2026-04-29T00:05:13.000244Z,2026-04-29T00:05:12.590000Z,1777421112590,SILVER,xyz:SILVER,73.581,159.31,2,73.587,13.58,1,73.584,0.006000000000000227,0.8153946510111202,1177.7,86651.24735,76.29,5614.1396700000005,17507.87,1287990.1850099997,1671.81,123043.33753000002
2026-04-29T00:05:14.000862Z,2026-04-29T00:05:13.666000Z,1777421113666,SILVER,xyz:SILVER,73.582,1.35,1,73.586,118.01,1,73.584,0.0040000000000048885,0.5435964340080572,397.01,29211.78553,180.72,13298.65775,16547.78,1217366.4443199998,1783.87,131288.50814000002
2026-04-29T00:05:15.001679Z,2026-04-29T00:05:14.752000Z,1777421114752,SILVER,xyz:SILVER,73.582,1.35,1,73.586,118.01,1,73.584,0.0040000000000048885,0.5435964340080572,499.48,36751.2203,221.33,16287.1884,17268.13,1270354.6670299997,2843.2,209262.57298
